"","gene","av_p.value","warning","singular","av_q.value","cluster"
"326","polr2m",0.701150222525037,NA,TRUE,"0.999999999964445",14
"327","myzap",0.999999965196623,"unable to evaluate scaled gradient",FALSE,"NA",14
"328","tcf12",0.642971249686485,NA,FALSE,"0.999999999964445",14
"329","LOC111577795",0.900164669353859,NA,FALSE,"0.999999999964445",14
"330","znf280d",0.91035221470607,NA,FALSE,"0.999999999964445",14
"331","mns1",0.99999999944296,"unable to evaluate scaled gradient",FALSE,"NA",14
"332","tex9",0.985648454585721,NA,TRUE,"0.999999999964445",14
"333","LOC111577798",0.276890888585167,NA,TRUE,"0.999999999964445",14
"334","nedd4a",0.163666105343492,NA,TRUE,"0.999999999964445",14
"335","prtga",0.378971434443274,NA,FALSE,"0.999999999964445",14
"336","LOC129350968",0,"Model failed to converge with max|grad| = 0.013891",FALSE,"NA",14
"337","ccpg1",0.496036521929934,NA,TRUE,"0.999999999964445",14
"338","pigb",0.653298557023606,NA,FALSE,"0.999999999964445",14
"339","LOC111577800",0.872271379239097,NA,TRUE,"0.999999999964445",14
"340","rab27a",0.999999999944951,NA,TRUE,"0.999999999964445",14
"341","vrk3",0.295590470675489,NA,FALSE,"0.999999999964445",14
"342","LOC111577790",0.153367072481779,NA,TRUE,"0.999999999964445",14
"343","LOC111577783",0.553148771467652,NA,TRUE,"0.999999999964445",14
"344","LOC111577782",0.693299253488437,NA,TRUE,"0.999999999964445",14
"345","nudt21",0.460997654176318,NA,TRUE,"0.999999999964445",14
"346","ogfod1",0.877009443984289,NA,TRUE,"0.999999999964445",14
"347","LOC129348627",0.999999999752575,NA,TRUE,"0.999999999964445",14
"348","LOC111587669",0.99999999994913,NA,TRUE,"0.999999999964445",14
"349","fes",0.398895962053667,NA,TRUE,"0.999999999964445",14
"350","furina",0.432760091304008,NA,TRUE,"0.999999999964445",14
"351","LOC111587675",0.990275740862002,NA,TRUE,"0.999999999964445",14
"352","LOC111587672",0.999999999924222,NA,TRUE,"0.999999999964445",14
"353","si:ch211-122f10.4",0.752710293023413,NA,TRUE,"0.999999999964445",14
"354","slc38a7",0.156202348560284,NA,TRUE,"0.999999999964445",14
"355","got2b",0.813948963805023,NA,TRUE,"0.999999999964445",14
"356","LOC111571167",0.61856859795248,NA,FALSE,"0.999999999964445",14
"357","cog4",0.0729778519269432,NA,TRUE,"0.999999999964445",14
"358","LOC111571169",0.682674858924552,NA,TRUE,"0.999999999964445",14
"359","gfod2",0.86797616600918,NA,TRUE,"0.999999999964445",14
"360","thap11",0.733041860072891,NA,TRUE,"0.999999999964445",14
"361","cmtr2",0.538418761875863,NA,TRUE,"0.999999999964445",14
"362","LOC111573315",0.995660847089036,"unable to evaluate scaled gradient",FALSE,"NA",14
"363","emc8",0.375612346964903,NA,TRUE,"0.999999999964445",14
"364","LOC111577159",0.0806629810844124,NA,TRUE,"0.999999999964445",14
"365","dusp22a",4.68412228735765e-08,"Model failed to converge with max|grad| = 0.007972",FALSE,"NA",14
"366","irf8",0.99999999990522,NA,TRUE,"0.999999999964445",14
"367","LOC118471200",0.999999999898874,NA,TRUE,"0.999999999964445",14
"368","mthfsd",0.404779717156225,NA,FALSE,"0.999999999964445",14
"369","dbndd1",0.451046047186672,NA,FALSE,"0.999999999964445",14
"370","LOC111577165",0.834753432104858,NA,TRUE,"0.999999999964445",14
"371","def8",0.3408756476273,NA,FALSE,"0.999999999964445",14
"372","mc1r",0.313769939620979,NA,TRUE,"0.999999999964445",14
"373","tcf25",0.139699505087946,NA,TRUE,"0.999999999964445",14
"374","LOC111577161",0.984556077279075,NA,TRUE,"0.999999999964445",14
"375","mvda",0.861556744318954,NA,FALSE,"0.999999999964445",14
"376","pdcd5",0.207254884998884,NA,TRUE,"0.999999999964445",14
"377","LOC111577167",0.975977462264569,"unable to evaluate scaled gradient",FALSE,"NA",14
