Barcode,Anatomical
cellid_000000854-1,Dm-3
cellid_000000855-1,Dm-3
cellid_000000856-1,Dm-3
cellid_000000857-1,Dm-3
cellid_000000858-1,Dm-3
cellid_000000859-1,Dm-3
cellid_000000860-1,Dm-3
cellid_000000862-1,Dm-3
cellid_000000863-1,Dm-3
cellid_000000864-1,Vd-r
cellid_000000866-1,Vd-r
cellid_000000867-1,Dm-3
cellid_000000868-1,Dm-3
cellid_000000869-1,Dm-3
cellid_000000870-1,Vd-r
cellid_000000871-1,Dm-3
cellid_000000872-1,Dm-3
cellid_000000873-1,Dm-3
cellid_000000874-1,Dm-3
cellid_000000875-1,Dm-3
cellid_000000876-1,Dm-3
cellid_000000877-1,Dm-3
cellid_000000878-1,Dm-3
cellid_000000879-1,Dm-3
cellid_000000880-1,Vd-r
cellid_000000881-1,Dm-3
cellid_000000882-1,Dm-3
cellid_000000883-1,Dm-3
cellid_000000884-1,Dm-3
cellid_000000885-1,Dm-3
cellid_000000886-1,Dm-3
cellid_000000887-1,Vd-r
cellid_000000888-1,Dm-3
cellid_000000889-1,Dm-3
cellid_000000890-1,Dm-3
cellid_000000891-1,Dm-3
cellid_000000892-1,Dm-3
cellid_000000893-1,Dm-3
cellid_000000894-1,Dm-3
cellid_000000895-1,Dm-3
cellid_000000896-1,Dm-3
cellid_000000897-1,Dm-3
cellid_000000898-1,Vd-r
cellid_000000899-1,Vd-r
cellid_000000900-1,Dm-3
cellid_000000901-1,Dm-3
cellid_000000902-1,Dm-3
cellid_000000904-1,Vd-r
